,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
868,107434422,apache/sling-org-apache-sling-commons-cache-api,,20,7,NonSQ,4,2845 days 15:55:38,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
869,107434463,apache/sling-org-apache-sling-commons-cache-impl,,20,7,SQ,4,2845 days 15:55:38,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
870,107434503,apache/sling-org-apache-sling-cassandra,Java,21,7,NonSQ,4,2436 days 06:11:23,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,1,sling
871,107434523,apache/sling-org-apache-sling-resourcecollection,Java,46,8,SQ,5,2667 days 13:48:38,0,NaT,NaT,0,0,1,19 days 00:24:22,19 days 00:24:22,0,NaT,NaT,1,sling
872,107434544,apache/sling-org-apache-sling-datasource,Java,52,7,SQ,4,2288 days 10:49:55,1,0 days 00:01:22,0 days 00:01:22,0,1,0,NaT,NaT,1,NaT,NaT,0,sling
873,107434556,apache/sling-org-apache-sling-distribution-api,Java,87,11,SQ,18,2117 days 05:25:12,0,NaT,NaT,1,0,0,NaT,NaT,0,NaT,NaT,0,sling
874,107434597,apache/sling-org-apache-sling-distribution-core,Java,473,22,SQ,45,2190 days 01:27:25,2,1 days 00:02:55.500000,1 days 00:02:55.500000,8,2,6,252 days 10:38:16.833333332,2 days 09:37:08,6,251 days 10:35:21.333333332,1 days 09:34:12.500000,6,sling
875,107434610,apache/sling-org-apache-sling-distribution-it,Java,106,11,NonSQ,6,2117 days 10:50:03,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
876,107434641,apache/sling-org-apache-sling-distribution-sample,Java,67,8,SQ,7,2117 days 10:50:05,0,NaT,NaT,0,0,1,10 days 20:28:18,10 days 20:28:18,0,NaT,NaT,1,sling
877,107434663,apache/sling-org-apache-sling-hapi-client,Java,38,8,SQ,4,1777 days 12:22:09,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,1,sling
