full_name,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end
apache/cordova-plugin-statusbar,13,63 days 23:07:41.384615385,1 days 05:31:25,30,17,34,117 days 10:03:45.852941176,2 days 23:38:16.500000,35,53 days 10:56:04.468325791,1 days 18:06:51.500000,27
apache/qpid-protonj2,0,NaT,NaT,0,0,1,21 days 02:42:02,21 days 02:42:02,1,NaT,NaT,2
apache/spamassassin,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/mnemonic,69,13 days 09:05:24.188405797,1 days 07:45:35,38,102,38,10 days 00:56:37,5 days 16:36:37,37,-4 days +15:51:12.811594203,4 days 08:51:02,45
apache/openwhisk-package-pushnotifications,0,NaT,NaT,3,0,0,NaT,NaT,3,NaT,NaT,0
apache/fineract-cn-portfolio,0,NaT,NaT,0,0,1,190 days 01:53:40,190 days 01:53:40,1,NaT,NaT,0
apache/activemq-openwire,0,NaT,NaT,3,0,0,NaT,NaT,4,NaT,NaT,0
apache/sling-org-apache-sling-auth-xing-oauth,0,NaT,NaT,0,0,0,NaT,NaT,2,NaT,NaT,0
apache/cassandra-diff,5,26 days 03:40:48.400000,7 days 06:12:25,1,5,5,239 days 00:28:56.200000,89 days 01:37:32,4,212 days 20:48:07.800000,81 days 19:25:07,6
apache/servicemix-website,0,NaT,NaT,0,1,0,NaT,NaT,1,NaT,NaT,0
apache/couchdb-setup,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/sling-org-apache-sling-launchpad-integration-tests,0,NaT,NaT,1,0,1,4 days 05:07:59,4 days 05:07:59,2,NaT,NaT,5
apache/arrow-testing,22,0 days 02:57:28.590909090,0 days 00:00:17,0,22,4,57 days 17:29:01,0 days 01:05:25.500000,2,57 days 14:31:32.409090910,0 days 01:05:08.500000,3
apache/couchdb-ken,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/lucene-site,15,4 days 19:39:41.400000,0 days 00:26:53,0,15,5,0 days 06:53:56.400000,0 days 01:01:35,1,-5 days +11:14:15,0 days 00:34:42,6
apache/maven-stage-plugin,5,50 days 23:41:21.800000,0 days 03:22:03,4,12,0,NaT,NaT,11,NaT,NaT,0
apache/cassandra-builds,4,0 days 16:18:49.250000,0 days 04:48:45.500000,0,6,7,10 days 12:01:39,0 days 06:06:52,4,9 days 19:42:49.750000,0 days 01:18:06.500000,9
apache/samza-hello-samza,3,0 days 14:50:49.333333333,0 days 00:05:09,12,3,0,NaT,NaT,14,NaT,NaT,2
apache/geode-site,0,NaT,NaT,1,0,0,NaT,NaT,0,NaT,NaT,1
apache/sling-org-apache-sling-discovery-support,1,28 days 20:10:39,28 days 20:10:39,0,1,0,NaT,NaT,0,NaT,NaT,0
apache/commons-release-plugin,29,10 days 09:46:53.586206896,0 days 10:40:34,1,28,38,1 days 18:12:36.289473684,0 days 02:33:39.500000,1,-9 days +08:25:42.703266788,-1 days +15:53:05.500000,39
apache/dolphinscheduler-maven-plugin,18,0 days 01:11:54.111111111,0 days 00:06:24.500000,0,18,1,2 days 06:02:42,2 days 06:02:42,0,2 days 04:50:47.888888889,2 days 05:56:17.500000,4
apache/pulsar-connectors,1,0 days 15:07:28,0 days 15:07:28,0,2,0,NaT,NaT,2,NaT,NaT,0
apache/sling-org-apache-sling-resource-inventory,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/maven-2,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,1
apache/sling-org-apache-sling-event-api,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/flink-connector-jdbc,0,NaT,NaT,0,0,5,2 days 08:17:30.800000,2 days 11:04:27,0,NaT,NaT,14
apache/sling-org-apache-sling-starter,7,30 days 10:52:31,0 days 00:52:21,1,6,9,33 days 08:44:37.666666666,0 days 21:19:07,1,2 days 21:52:06.666666666,0 days 20:26:46,11
apache/sling-org-apache-sling-distribution-journal-messages,2,1 days 14:41:29,1 days 14:41:29,0,2,2,101 days 11:56:45.500000,101 days 11:56:45.500000,1,99 days 21:15:16.500000,99 days 21:15:16.500000,3
apache/cloudstack-primate,421,5 days 19:09:35.788598574,1 days 21:58:41,31,430,0,NaT,NaT,31,NaT,NaT,0
apache/sling-org-apache-sling-installer-core,1,0 days 02:22:46,0 days 02:22:46,0,1,0,NaT,NaT,0,NaT,NaT,0
apache/causeway-antora,4,162 days 13:50:06,162 days 16:06:04,2,2,0,NaT,NaT,3,NaT,NaT,7
apache/ozone-docker-runner,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/myfaces-build-tools,3,0 days 15:05:01.333333333,0 days 00:00:41,0,3,4,0 days 14:09:09.250000,0 days 14:09:07.500000,0,-1 days +23:04:07.916666667,0 days 14:08:26.500000,4
apache/sling-org-apache-sling-tooling-support-install,0,NaT,NaT,0,0,3,51 days 15:41:26.666666666,3 days 18:29:50,1,NaT,NaT,2
apache/maven-javadoc-plugin,20,36 days 19:59:37.200000,2 days 08:48:06.500000,68,28,37,37 days 15:33:44.189189189,5 days 15:32:16,50,0 days 19:34:06.989189189,3 days 06:44:09.500000,47
apache/sling-org-apache-sling-commons-osgi,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/skywalking-satellite,11,2 days 10:33:36.636363636,0 days 03:23:55,0,11,8,0 days 03:03:14.625000,0 days 01:12:10,0,-3 days +16:29:37.988636364,-1 days +21:48:15,9
apache/sling-org-apache-sling-scripting-sightly,1,0 days 20:19:39,0 days 20:19:39,0,2,6,125 days 02:23:14.666666666,74 days 20:23:33.500000,1,124 days 06:03:35.666666666,74 days 00:03:54.500000,6
apache/parquet-format,1,0 days 17:16:39,0 days 17:16:39,6,5,7,250 days 11:02:31.857142856,311 days 16:50:47,12,249 days 17:45:52.857142856,310 days 23:34:08,5
apache/datafu,1,81 days 17:47:04,81 days 17:47:04,6,3,15,208 days 18:07:45.600000,5 days 04:51:03,11,127 days 00:20:41.600000,-77 days +11:03:59,19
apache/shenyu-helm-chart,0,NaT,NaT,0,0,22,2 days 22:36:42.772727272,1 days 11:09:22,0,NaT,NaT,23
apache/trafodion-site,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/sling-org-apache-sling-installer-console,1,0 days 00:58:00,0 days 00:58:00,0,1,0,NaT,NaT,0,NaT,NaT,0
apache/maven-wrapper-plugin,0,NaT,NaT,0,0,0,NaT,NaT,2,NaT,NaT,0
apache/maven-mapping,6,0 days 02:35:15.166666666,0 days 01:48:56,0,6,0,NaT,NaT,0,NaT,NaT,0
apache/dubbo-js,44,266 days 22:28:24.159090908,282 days 16:36:57.500000,47,15,61,262 days 15:01:48.901639344,11 days 22:47:28,30,-5 days +16:33:24.742548436,-271 days +06:10:30.500000,51
apache/openwhisk-deploy-mesos,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/couchdb-ddoc-cache,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/cordova-plugin-device-orientation,9,19 days 18:10:12.444444444,0 days 15:00:52,3,9,6,1 days 10:55:14.166666666,1 days 04:02:33,6,-19 days +16:45:01.722222222,0 days 13:01:41,9
apache/commons-rng,1,0 days 03:44:18,0 days 03:44:18,11,2,12,65 days 06:47:15.166666667,4 days 15:59:03.500000,15,65 days 03:02:57.166666667,4 days 12:14:45.500000,11
apache/whimsy-test,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/openwhisk-sample-matos,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/sling-org-apache-sling-models-impl,4,4 days 09:22:30.250000,4 days 04:06:52,3,4,3,2 days 09:23:33.333333333,0 days 20:48:25,1,-2 days +00:01:03.083333333,-4 days +16:41:33,4
apache/openwhisk-runtime-nodejs,9,0 days 12:32:49.444444444,0 days 08:15:00,11,11,8,71 days 16:41:07.500000,0 days 10:14:30,10,71 days 04:08:18.055555556,0 days 01:59:30,9
apache/systemds-website,5,2 days 22:51:24.400000,0 days 00:05:59,1,4,2,6 days 02:17:28.500000,6 days 02:17:28.500000,2,3 days 03:26:04.100000,6 days 02:11:29.500000,3
apache/skywalking-data-collect-protocol,13,0 days 02:40:06.923076923,0 days 00:12:09,0,13,6,0 days 00:42:26,0 days 00:50:01.500000,0,-1 days +22:02:19.076923077,0 days 00:37:52.500000,6
apache/pulsar-client-python,0,NaT,NaT,2,3,36,26 days 21:19:47.361111111,1 days 15:53:37,17,NaT,NaT,57
apache/allura,0,NaT,NaT,1,0,0,NaT,NaT,0,NaT,NaT,0
apache/xmlgraphics-fop,25,94 days 17:33:59.400000,0 days 00:15:00,536,44,31,177 days 15:02:30.483870968,0 days 02:51:40,567,82 days 21:28:31.083870968,0 days 02:36:40,33
apache/kyuubi-client,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/griffin,16,48 days 19:45:13.187500,9 days 19:12:53,89,32,19,20 days 23:52:02.368421052,12 days 23:37:37,105,-28 days +04:06:49.180921052,3 days 04:24:44,25
apache/jmeter,153,101 days 10:50:18.607843137,8 days 06:27:54,475,165,29,26 days 07:17:26.827586207,3 days 09:53:53,587,-76 days +20:27:08.219743070,-5 days +03:25:59,78
apache/fluo-yarn,143,159 days 05:43:29.279720280,18 days 15:34:50,2748,225,156,284 days 10:05:25.557692308,19 days 17:36:17,2983,125 days 04:21:56.277972028,1 days 02:01:27,199
apache/pinot-site,0,NaT,NaT,0,0,4,1 days 20:42:49.750000,0 days 19:31:07.500000,0,NaT,NaT,4
apache/infrastructure-blocky,1,10 days 19:09:52,10 days 19:09:52,0,1,0,NaT,NaT,0,NaT,NaT,0
apache/flink-benchmarks,6,3 days 10:59:14.666666666,2 days 22:42:29,0,7,5,151 days 05:13:07.200000,231 days 01:21:01,3,147 days 18:13:52.533333334,228 days 02:38:32,7
apache/hcatalog,0,NaT,NaT,158,0,0,NaT,NaT,159,NaT,NaT,0
apache/sling-org-apache-sling-jcr-oak-server,3,5 days 07:30:06,5 days 22:06:22,2,3,0,NaT,NaT,0,NaT,NaT,0
apache/fineract-cn-template,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/tomee-chatterbox,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,10
apache/fineract-cn-default-setup,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/ftpserver,0,NaT,NaT,2,0,1,154 days 21:12:39,154 days 21:12:39,3,NaT,NaT,3
apache/spark-website,24,3 days 00:38:11.708333333,0 days 06:30:11.500000,0,24,29,4 days 03:58:14.275862068,0 days 02:28:26,1,1 days 03:20:02.567528735,-1 days +19:58:14.500000,28
apache/security-vulnogram,0,NaT,NaT,0,0,21,192 days 01:48:29.095238096,63 days 00:49:22,10,NaT,NaT,23
apache/yetus-homebrew,3,1 days 22:19:48.333333333,1 days 08:05:34,0,4,0,NaT,NaT,0,NaT,NaT,0
apache/logging-log4j-scala,0,NaT,NaT,0,1,5,29 days 18:34:55.600000,7 days 20:54:53,1,NaT,NaT,4
apache/cloudstack,378,94 days 19:12:42.539682540,13 days 12:13:19,321,372,463,74 days 08:28:01.673866091,12 days 21:39:51,249,-21 days +13:15:19.134183551,-1 days +09:26:32,518
apache/maven-assembly-plugin,10,14 days 11:32:16.300000,0 days 01:14:51,67,22,23,82 days 08:42:15.434782609,21 days 23:59:49,79,67 days 21:09:59.134782609,21 days 22:44:58,39
apache/kibble-1,75,16 days 08:26:42.586666666,0 days 12:11:44,11,95,0,NaT,NaT,32,NaT,NaT,1
apache/sling-org-apache-sling-tooling-support-source,0,NaT,NaT,0,0,2,70 days 16:00:22,70 days 16:00:22,1,NaT,NaT,1
apache/openmeetings,152,39 days 20:42:27.460526316,0 days 23:58:56.500000,63,167,23,415 days 01:32:29.173913044,57 days 13:28:35,94,375 days 04:50:01.713386728,56 days 13:29:38.500000,14
apache/commons-jcs,7,128 days 10:10:58,21 days 23:33:19,9,5,34,3 days 19:18:13.176470588,1 days 03:22:52,3,-125 days +09:07:15.176470588,-21 days +03:49:33,33
apache/openwhisk-catalog,2,0 days 07:28:48.500000,0 days 07:28:48.500000,35,2,2,221 days 03:00:52.500000,221 days 03:00:52.500000,14,220 days 19:32:04,220 days 19:32:04,1
apache/cordova-weinre,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/cordova-ubuntu,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/carbondata-site,0,NaT,NaT,2,0,0,NaT,NaT,4,NaT,NaT,0
apache/camel-kamelets-examples,0,NaT,NaT,0,0,11,0 days 00:30:48.363636363,0 days 00:00:46,0,NaT,NaT,11
apache/sling-org-apache-sling-hc-support,0,NaT,NaT,0,0,3,13 days 21:15:59,3 days 13:32:49,0,NaT,NaT,3
apache/rocketmq-mqtt,0,NaT,NaT,0,0,51,48 days 02:42:23.039215686,19 days 22:33:38,24,NaT,NaT,53
apache/ofbiz-plugins,9,2 days 01:17:28.888888888,0 days 05:00:21,9,13,2,841 days 23:51:52,841 days 23:51:52,13,839 days 22:34:23.111111112,841 days 18:51:31,0
apache/opennlp-sandbox,0,NaT,NaT,9,0,1,0 days 19:53:26,0 days 19:53:26,10,NaT,NaT,16
apache/activemq-cpp,0,NaT,NaT,33,2,2,0 days 04:24:45,0 days 04:24:45,46,NaT,NaT,3
apache/juneau-website,1,0 days 07:04:43,0 days 07:04:43,0,5,0,NaT,NaT,4,NaT,NaT,0
apache/sling-org-apache-sling-hc-api,0,NaT,NaT,0,0,1,23 days 22:38:16,23 days 22:38:16,0,NaT,NaT,1
apache/mynewt-documentation,6,13 days 23:00:46.833333333,10 days 12:16:48.500000,38,4,0,NaT,NaT,35,NaT,NaT,1
apache/ws-wss4j,7,14 days 22:13:30.142857142,0 days 18:53:17,11,7,14,43 days 03:04:40.500000,44 days 14:19:10,16,28 days 04:51:10.357142858,43 days 19:25:53,17
apache/sling-org-apache-sling-performance,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/datasketches-server,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/logging-log4j2,143,335 days 10:47:16.783216784,25 days 10:45:33,763,188,273,75 days 23:16:46.908424908,14 days 13:42:42,944,-260 days +12:29:30.125208124,-11 days +02:57:09,322
apache/accumulo-maven-plugin,2,0 days 00:40:36.500000,0 days 00:40:36.500000,0,2,0,NaT,NaT,0,NaT,NaT,0
apache/cordova-electron,20,84 days 11:54:00.850000,5 days 00:13:45,23,21,0,NaT,NaT,35,NaT,NaT,8
apache/jackrabbit,4,382 days 10:49:03.250000,147 days 02:27:24,37,1,25,0 days 16:25:08.640000,0 days 13:17:54,34,-382 days +05:36:05.390000,-147 days +10:50:30,27
apache/openwhisk-cli,5,4 days 06:28:31.200000,0 days 19:13:11,106,6,3,39 days 11:54:08.666666666,20 days 16:47:34,112,35 days 05:25:37.466666666,19 days 21:34:23,3
apache/maven-checkstyle-plugin,12,333 days 04:02:03.916666668,323 days 17:37:00,41,11,22,17 days 10:38:52.454545454,6 days 05:12:35,38,-316 days +06:36:48.537878786,-318 days +11:35:35,28
apache/apisix-python-plugin-runner,0,NaT,NaT,0,0,3,4 days 03:23:28.666666666,4 days 15:42:33,5,NaT,NaT,7
apache/commons-codec,21,27 days 12:48:11.857142857,6 days 00:31:23,14,20,32,12 days 04:12:37.406250,0 days 07:01:30.500000,9,-16 days +15:24:25.549107143,-6 days +06:30:07.500000,32
apache/zeppelin,349,52 days 01:25:38.063037249,5 days 15:34:42,2065,426,196,82 days 21:11:33.897959184,6 days 23:35:04.500000,2390,30 days 19:45:55.834921935,1 days 08:00:22.500000,265
apache/sling-org-apache-sling-installer-factory-deploymentpackage,0,NaT,NaT,0,0,1,15 days 00:48:27,15 days 00:48:27,0,NaT,NaT,1
apache/netbeans-mavenutils-nbm-shared,0,NaT,NaT,0,0,0,NaT,NaT,2,NaT,NaT,0
apache/cloudstack-cloudmonkey,4,13 days 02:13:26.500000,12 days 23:10:58.500000,4,8,3,182 days 14:48:13.333333334,138 days 01:34:15,13,169 days 12:34:46.833333334,125 days 02:23:16.500000,4
apache/hbase-site,2,0 days 09:18:53,0 days 09:18:53,0,2,1,0 days 20:31:37,0 days 20:31:37,0,0 days 11:12:44,0 days 11:12:44,1
apache/maven-fluido-skin,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0
apache/flink-connector-opensearch,0,NaT,NaT,0,0,3,27 days 04:17:11,3 days 23:55:31,0,NaT,NaT,5
apache/accumulo-examples,4,108 days 01:11:19,0 days 01:06:38.500000,6,4,8,5 days 23:04:19.625000,2 days 14:05:05.500000,6,-103 days +21:53:00.625000,2 days 12:58:27,11
apache/sling-org-apache-sling-testing-osgi-mock,0,NaT,NaT,0,0,2,4 days 14:16:40.500000,4 days 14:16:40.500000,1,NaT,NaT,2
apache/sling-org-apache-sling-resourcebuilder,0,NaT,NaT,0,0,1,16 days 12:28:19,16 days 12:28:19,0,NaT,NaT,2
apache/flink-statefun,65,5 days 15:14:50.661538461,0 days 23:35:09,3,64,4,41 days 22:04:00.250000,33 days 17:24:31,7,36 days 06:49:09.588461539,32 days 17:49:22,8
apache/oozie,7,205 days 01:06:25,7 days 02:47:55,973,16,25,115 days 01:35:06.040000,3 days 20:44:49,951,-90 days +00:28:41.040000,-4 days +17:56:54,56
apache/clerezza-contribs,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/sling-org-apache-sling-commons-metrics,0,NaT,NaT,0,0,4,5 days 08:52:57.750000,2 days 20:12:18.500000,0,NaT,NaT,4
apache/dubbo-go-pixiu-samples,0,NaT,NaT,0,0,14,14 days 10:17:12.785714285,6 days 08:46:08,0,NaT,NaT,16
apache/sling-org-apache-sling-servlets-get,0,NaT,NaT,1,0,1,4 days 10:15:47,4 days 10:15:47,1,NaT,NaT,1
apache/nano,0,NaT,NaT,47,0,0,NaT,NaT,47,NaT,NaT,0
apache/mina-vysper,0,NaT,NaT,87,2,0,NaT,NaT,92,NaT,NaT,3
apache/sling-org-apache-sling-testing-email,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/maven-doxia-converter,7,35 days 16:36:18.571428571,33 days 15:41:16,1,6,7,16 days 04:26:55.285714285,0 days 02:02:54,1,-20 days +11:50:36.714285714,-34 days +10:21:38,10
apache/openwhisk-selfserve-test,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/dubbo-getty,13,7 days 17:20:55.846153846,3 days 00:09:22,3,16,3,0 days 08:34:37.666666666,0 days 07:39:17,2,-8 days +15:13:41.820512820,-3 days +07:29:55,3
apache/asterixdb,47,126 days 20:03:57.936170212,20 days 00:19:37,807,71,17,33 days 04:32:31.588235294,11 days 12:09:50,892,-94 days +08:28:33.652065082,-9 days +11:50:13,53
apache/ws-xmlschema,0,NaT,NaT,0,0,1,1 days 14:03:04,1 days 14:03:04,0,NaT,NaT,1
apache/skywalking-java,0,NaT,NaT,0,0,169,1 days 06:59:07.313609467,0 days 03:23:47,1,NaT,NaT,168
apache/sling-kickstart-maven-plugin,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0
apache/httpcomponents-core,63,9 days 23:59:59.968253968,0 days 20:49:48,11,64,43,88 days 00:50:27.209302326,1 days 18:52:18,17,78 days 00:50:27.241048358,0 days 22:02:30,39
apache/maven-doxia-tools,1,1 days 00:09:14,1 days 00:09:14,8,3,2,415 days 13:55:27.500000,415 days 13:55:27.500000,3,414 days 13:46:13.500000,414 days 13:46:13.500000,2
apache/echarts-bar-racing,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,3
apache/dubbo-kubernetes,0,NaT,NaT,3,0,1,1 days 06:04:32,1 days 06:04:32,7,NaT,NaT,1
apache/sling-org-apache-sling-featureflags,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/tika-docker,1,90 days 04:26:07,90 days 04:26:07,0,2,9,4 days 09:48:14.444444444,0 days 06:23:07,1,-86 days +05:22:07.444444444,-90 days +01:57:00,10
apache/dubbo-erlang,0,NaT,NaT,0,0,1,64 days 20:35:31,64 days 20:35:31,1,NaT,NaT,1
apache/kyuubi-docker,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/singa,81,45 days 11:59:13.839506173,4 days 06:44:10,228,69,62,16 days 14:32:31.774193548,0 days 04:00:17.500000,224,-29 days +02:33:17.934687375,-5 days +21:16:07.500000,69
apache/brooklyn-ui,7,9 days 10:10:16.285714285,1 days 20:44:29,8,6,18,6 days 15:51:40.777777777,0 days 18:38:38.500000,5,-3 days +05:41:24.492063492,-2 days +21:54:09.500000,26
apache/openwhisk-runtime-python,6,3 days 09:11:06.500000,0 days 21:04:01.500000,4,8,11,20 days 22:25:59.636363636,2 days 02:25:06,3,17 days 13:14:53.136363636,1 days 05:21:04.500000,9
apache/comdev-events-site,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0
apache/maven-dependency-tree,1,75 days 22:17:51,75 days 22:17:51,3,1,13,36 days 16:24:12.307692307,3 days 08:07:59,2,-40 days +18:06:21.307692307,-73 days +09:50:08,14
apache/logging-log4cxx,81,2452 days 21:53:01.925925920,2407 days 21:11:21,75,28,89,173 days 01:34:44.539325842,2 days 23:18:52,14,-2280 days +03:41:42.613399922,-2405 days +02:07:31,80
apache/skywalking-eyes,16,0 days 02:02:25.187500,0 days 00:22:22.500000,0,16,25,0 days 08:01:53.640000,0 days 00:30:30,0,0 days 05:59:28.452500,0 days 00:08:07.500000,25
apache/cassandra-harry,5,1 days 06:56:05,0 days 16:29:48,0,5,2,97 days 07:38:14,97 days 07:38:14,3,96 days 00:42:09,96 days 15:08:26,2
apache/sling-org-apache-sling-commons-cache-api,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/rocketmq-site,5,9 days 08:23:37.800000,0 days 19:49:28,1,4,186,8 days 13:44:31.048387096,0 days 18:39:24.500000,3,-1 days +05:20:53.248387096,-1 days +22:49:56.500000,264
apache/infrastructure-pypubsub,3,3 days 03:47:39,2 days 07:45:12,0,3,0,NaT,NaT,0,NaT,NaT,0
apache/sling-org-apache-sling-auth-form,0,NaT,NaT,0,0,2,0 days 02:46:35,0 days 02:46:35,0,NaT,NaT,3
apache/openwhisk-runtime-docker,0,NaT,NaT,1,1,6,5 days 04:19:37.500000,0 days 10:18:20.500000,0,NaT,NaT,6
apache/maven-jxr,1,1 days 01:14:48,1 days 01:14:48,5,2,41,19 days 07:48:21.902439024,6 days 00:33:05,10,18 days 06:33:33.902439024,4 days 23:18:17,41
apache/sling-org-apache-sling-scripting-sightly-js-provider,0,NaT,NaT,0,0,2,14 days 04:29:22.500000,14 days 04:29:22.500000,0,NaT,NaT,3
apache/beam-starter-python,0,NaT,NaT,0,0,10,22 days 14:12:19.200000,8 days 04:08:21.500000,0,NaT,NaT,11
apache/hbase-operator-tools,6,2 days 14:35:27.333333333,2 days 12:25:08.500000,1,9,1,34 days 12:42:25,34 days 12:42:25,6,31 days 22:06:57.666666667,32 days 00:17:16.500000,0
apache/trafficserver-qa,0,NaT,NaT,2,0,0,NaT,NaT,2,NaT,NaT,0
apache/fineract-cn-crypto,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/cordova-plugin-device,8,29 days 01:32:54.875000,0 days 15:25:38.500000,20,12,12,121 days 07:13:22.583333334,2 days 05:05:09.500000,17,92 days 05:40:27.708333334,1 days 13:39:31,12
apache/sling-org-apache-sling-servlets-post,1,25 days 20:23:45,25 days 20:23:45,0,3,1,53 days 23:02:15,53 days 23:02:15,0,28 days 02:38:30,28 days 02:38:30,2
apache/sling-org-apache-sling-testing-caconfig-mock-plugin,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/aries-jpa,0,NaT,NaT,0,1,0,NaT,NaT,3,NaT,NaT,1
apache/shardingsphere-elasticjob,1003,70 days 20:31:08.268195413,0 days 02:57:42,121,918,75,90 days 00:58:24.973333333,10 days 01:46:09,129,19 days 04:27:16.705137920,9 days 22:48:27,66
apache/flink-statefun-playground,0,NaT,NaT,0,0,17,29 days 18:32:57.176470588,27 days 21:42:55,6,NaT,NaT,24
apache/datasketches-pig,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/maven-resources,5,0 days 12:28:46.600000,0 days 03:58:59,7,7,1,0 days 07:10:07,0 days 07:10:07,6,-1 days +18:41:20.400000,0 days 03:11:08,1
apache/doris-spark-connector,0,NaT,NaT,0,0,17,18 days 08:06:43.705882353,4 days 21:35:17,2,NaT,NaT,24
apache/maven-studies,1,27 days 18:45:38,27 days 18:45:38,0,1,0,NaT,NaT,0,NaT,NaT,0
apache/arrow-rs,0,NaT,NaT,0,0,1487,39 days 07:04:45.847343645,1 days 01:54:27,344,NaT,NaT,1426
apache/jena-site,18,9 days 03:56:59.500000,2 days 18:15:05.500000,1,17,20,12 days 05:43:33.400000,0 days 07:22:59.500000,1,3 days 01:46:33.900000,-3 days +13:07:54,30
apache/logging-site,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/sling-org-apache-sling-installer-factory-configuration,0,NaT,NaT,0,0,1,15 days 00:47:31,15 days 00:47:31,0,NaT,NaT,1
apache/druid-website-src,58,1 days 14:12:55.293103448,0 days 04:48:08,0,58,41,38 days 02:38:20.902439024,0 days 05:45:38,3,36 days 12:25:25.609335576,0 days 00:57:30,48
apache/sling-org-apache-sling-discovery-impl,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/opennlp-site,1,0 days 00:00:10,0 days 00:00:10,1,1,8,225 days 07:43:34,0 days 05:46:13.500000,1,225 days 07:43:24,0 days 05:46:03.500000,7
apache/airflow-ci,0,NaT,NaT,2,0,0,NaT,NaT,2,NaT,NaT,0
apache/plc4x-build-tools,1,163 days 09:25:32,163 days 09:25:32,1,0,24,38 days 19:15:14.125000,3 days 06:24:08.500000,5,-125 days +09:49:42.125000,-161 days +20:58:36.500000,19
apache/openwebbeans,31,27 days 05:08:48.193548387,0 days 00:19:57,30,35,7,89 days 10:12:26.857142857,151 days 03:08:35,41,62 days 05:03:38.663594470,151 days 02:48:38,5
apache/netbeans-mavenutils-nbm-maven-plugin,2,49 days 09:27:35,49 days 09:27:35,0,2,14,42 days 13:08:17.428571428,35 days 08:37:16,7,-7 days +03:40:42.428571428,-15 days +23:09:41,17
apache/dubbo-feature-test,0,NaT,NaT,0,0,0,NaT,NaT,4,NaT,NaT,1
apache/maven-sandbox,0,NaT,NaT,2,0,0,NaT,NaT,2,NaT,NaT,0
apache/sling-org-apache-sling-validation-test-services,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/dubbo-rpc-jsonrpc,0,NaT,NaT,6,0,0,NaT,NaT,6,NaT,NaT,2
apache/maven-dependency-plugin,84,279 days 02:41:30.297619048,2 days 20:55:42,126,86,84,117 days 01:34:32.571428572,8 days 02:17:04,163,-163 days +22:53:02.273809524,5 days 05:21:22,84
apache/airflow,3304,21 days 01:18:53.898910411,0 days 16:25:53,562,3717,3074,37 days 03:54:25.271633051,1 days 20:55:02,887,16 days 02:35:31.372722640,1 days 04:29:09,3065
apache/ranger,184,16 days 20:48:16.195652174,3 days 23:12:05.500000,366,267,149,138 days 16:26:14.953020134,13 days 04:45:01,658,121 days 19:37:58.757367960,9 days 05:32:55.500000,260
