full_name,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end
apache/couchdb-couch-epi,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/commons-daemon,11,69 days 21:51:55.636363636,21 days 00:32:00,18,11,32,19 days 06:36:15.406250,6 days 23:59:33,19,-51 days +08:44:19.769886364,-15 days +23:27:33,33
apache/fineract-cn-reporting,0,NaT,NaT,0,1,0,NaT,NaT,0,NaT,NaT,0
apache/dolphinscheduler-website,102,5 days 10:47:03.490196078,0 days 06:55:11.500000,3,99,73,15 days 22:26:28.287671233,0 days 01:14:10,8,10 days 11:39:24.797475155,-1 days +18:18:58.500000,68
apache/couchdb-fabric,0,NaT,NaT,4,0,0,NaT,NaT,4,NaT,NaT,0
apache/openwhisk-client-python,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/sling-org-apache-sling-scripting-xproc,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/apisix-dashboard,808,16 days 03:31:05.856435643,1 days 21:42:08.500000,42,870,156,25 days 03:26:09.641025641,2 days 23:15:27,157,8 days 23:55:03.784589998,1 days 01:33:18.500000,206
apache/cayenne-examples,0,NaT,NaT,0,0,2,54 days 19:41:06,54 days 19:41:06,0,NaT,NaT,3
apache/arrow-ballista,0,NaT,NaT,0,0,407,13 days 11:37:58.987714987,2 days 03:18:04,46,NaT,NaT,491
apache/servicemix,165,4 days 15:24:06.739393939,1 days 11:44:49,123,166,191,4 days 00:15:11.130890052,2 days 06:51:31,100,-1 days +08:51:04.391496113,0 days 19:06:42,194
apache/skywalking-ui,0,NaT,NaT,3,0,0,NaT,NaT,3,NaT,NaT,0
apache/echarts-bot,3,39 days 20:10:36,54 days 23:41:43,0,3,7,2 days 10:39:14,0 days 03:25:10,1,-38 days +14:28:38,-55 days +03:43:27,7
apache/twill,0,NaT,NaT,3,0,0,NaT,NaT,2,NaT,NaT,0
apache/brooklyn-docs,7,52 days 09:48:47.428571429,28 days 16:21:34,8,6,12,23 days 20:50:39.416666666,3 days 19:48:43,5,-29 days +11:01:51.988095237,-25 days +03:27:09,13
apache/sling-org-apache-sling-commons-cache-impl,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/sandesha,0,NaT,NaT,15,0,0,NaT,NaT,16,NaT,NaT,0
apache/ant,16,84 days 03:40:23.687500,38 days 08:37:57.500000,22,13,5,46 days 06:37:13,2 days 13:11:29,23,-38 days +02:56:49.312500,-36 days +04:33:31.500000,6
apache/fineract-cn-api,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/openwhisk-apigateway,11,2 days 19:16:10.636363636,0 days 21:02:00,33,12,2,0 days 03:22:08.500000,0 days 03:22:08.500000,33,-3 days +08:05:57.863636364,-1 days +06:20:08.500000,4
apache/hive-site,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,2
apache/cordova-plugin-globalization,0,NaT,NaT,6,1,0,NaT,NaT,10,NaT,NaT,0
apache/tvm-rfcs,0,NaT,NaT,0,0,14,30 days 04:14:19,21 days 23:47:45,15,NaT,NaT,12
apache/netbeans-parent,0,NaT,NaT,0,0,2,76 days 23:17:15,76 days 23:17:15,0,NaT,NaT,3
apache/netbeans-l10n,2,3 days 19:07:52.500000,3 days 19:07:52.500000,0,2,0,NaT,NaT,1,NaT,NaT,0
apache/rocketmq-client-rust,0,NaT,NaT,0,0,0,NaT,NaT,2,NaT,NaT,0
apache/sling-org-apache-sling-bundleresource-impl,0,NaT,NaT,0,0,2,35 days 04:35:00.500000,35 days 04:35:00.500000,0,NaT,NaT,2
apache/commons-validator,51,1810 days 17:03:20.333333344,710 days 23:45:21,38,28,33,46 days 12:12:03.454545454,4 days 01:24:06,26,-1765 days +19:08:43.121212110,-707 days +01:38:45,36
apache/brpc-website,2,0 days 00:00:13.500000,0 days 00:00:13.500000,0,2,36,0 days 15:44:45.277777777,0 days 00:00:42,0,0 days 15:44:31.777777777,0 days 00:00:28.500000,45
apache/freemarker-docgen,1,261 days 01:07:03,261 days 01:07:03,1,0,0,NaT,NaT,1,NaT,NaT,1
apache/geronimo-txmanager,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0
apache/infrastructure-download-integrity-checker,0,NaT,NaT,0,0,3,5 days 08:36:40,0 days 02:25:28,0,NaT,NaT,3
apache/airflow-client-java,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0
apache/shardingsphere-elasticjob-ui,92,0 days 23:46:07.695652173,0 days 01:00:00,0,96,25,81 days 06:05:05.440000,0 days 02:15:03,16,80 days 06:18:57.744347827,0 days 01:15:03,20
apache/guacamole-client,41,61 days 13:21:16.902439024,2 days 01:21:04,45,42,46,54 days 00:19:02.065217391,1 days 00:28:17.500000,43,-8 days +10:57:45.162778367,-2 days +23:07:13.500000,44
apache/sling-maven-plugin,0,NaT,NaT,0,2,12,54 days 04:58:15.333333333,0 days 00:46:51.500000,2,NaT,NaT,11
